py311_error_type,py311_error_signature,py311_fstring_error,error_records,recovered_error_records,remaining_error_records,record_recovery_rate,unique_blob_revisions,recovered_unique_blob_revisions,remaining_unique_blob_revisions,unique_blob_recovery_rate,py311_fstring_error_records,py311_fstring_recovered_records,py311_fstring_record_recovery_rate
IndentationError,IndentationError: expected an indented block after function definition on line 193,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after function definition on line 248,0,1,0,1,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after function definition on line 44,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after function definition on line 51,0,2,0,2,0.0,2,0,2,0.0,0,0,
IndentationError,IndentationError: unexpected indent,0,17,0,17,0.0,12,0,12,0.0,0,0,
IndentationError,IndentationError: unexpected unindent,0,7,0,7,0.0,5,0,5,0.0,0,0,
IndentationError,IndentationError: unindent does not match any outer indentation level,0,17,0,17,0.0,15,0,15,0.0,0,0,
SyntaxError,SyntaxError: '(' was never closed,0,5,0,5,0.0,4,0,4,0.0,0,0,
SyntaxError,SyntaxError: Invalid star expression,0,2,0,2,0.0,1,0,1,0.0,0,0,
SyntaxError,SyntaxError: closing parenthesis ')' does not match opening parenthesis '[',0,15,0,15,0.0,14,0,14,0.0,0,0,
SyntaxError,SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586,0,2,0,2,0.0,2,0,2,0.0,0,0,
SyntaxError,SyntaxError: closing parenthesis '}' does not match opening parenthesis '[' on line 63,0,2,0,2,0.0,2,0,2,0.0,0,0,
SyntaxError,SyntaxError: expected '(',0,169,169,0,1.0,169,169,0,1.0,0,0,
SyntaxError,SyntaxError: expected ':',0,3,0,3,0.0,2,0,2,0.0,0,0,
SyntaxError,SyntaxError: expected 'except' or 'finally' block,0,7,0,7,0.0,5,0,5,0.0,0,0,
SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,102,102,0,1.0,97,97,0,1.0,102,102,1.0
SyntaxError,SyntaxError: f-string: expecting '}',1,115,115,0,1.0,115,115,0,1.0,115,115,1.0
SyntaxError,SyntaxError: f-string: unmatched '(',1,85,85,0,1.0,84,84,0,1.0,85,85,1.0
SyntaxError,SyntaxError: f-string: unmatched '[',1,137,137,0,1.0,135,135,0,1.0,137,137,1.0
SyntaxError,SyntaxError: f-string: unterminated string,1,21,21,0,1.0,21,21,0,1.0,21,21,1.0
SyntaxError,SyntaxError: invalid decimal literal,0,6,0,6,0.0,3,0,3,0.0,0,0,
SyntaxError,SyntaxError: invalid non-printable character U+2028,0,2,0,2,0.0,2,0,2,0.0,0,0,
SyntaxError,SyntaxError: invalid syntax,0,323,166,157,0.5139318885448917,309,166,143,0.5372168284789643,0,0,
SyntaxError,SyntaxError: invalid syntax. Perhaps you forgot a comma?,0,4,0,4,0.0,4,0,4,0.0,0,0,
SyntaxError,SyntaxError: non-default argument follows default argument,0,4,0,4,0.0,3,0,3,0.0,0,0,
SyntaxError,SyntaxError: unexpected character after line continuation character,0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unmatched ')',0,9,0,9,0.0,8,0,8,0.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 113),0,4,4,0,1.0,4,4,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 1139),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 116),0,1,1,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 117),0,4,4,0,1.0,3,3,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 118),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 136),0,2,0,2,0.0,2,0,2,0.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 14),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 16),0,4,0,4,0.0,4,0,4,0.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 165),0,3,3,0,1.0,3,3,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 188),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 20),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 243),0,2,0,2,0.0,1,0,1,0.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 25),0,3,2,1,0.6666666666666666,3,2,1,0.6666666666666666,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 278),0,1,1,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 284),0,2,2,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 308),0,3,3,0,1.0,3,3,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 31),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 32),0,3,3,0,1.0,3,3,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 34),0,2,2,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 43),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 45),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 57),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 575),0,1,1,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 577),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 588),0,1,1,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 596),0,7,7,0,1.0,7,7,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 598),0,3,3,0,1.0,3,3,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 600),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 601),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 615),0,1,1,0,1.0,1,1,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 616),0,5,5,0,1.0,5,5,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 617),0,5,5,0,1.0,5,5,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 72),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 79),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 91),0,2,2,0,1.0,2,2,0,1.0,0,0,
SyntaxError,SyntaxError: unterminated string literal (detected at line 98),0,2,0,2,0.0,1,0,1,0.0,0,0,
SyntaxError,SyntaxError: unterminated triple-quoted string literal (detected at line 870),0,1,0,1,0.0,1,0,1,0.0,0,0,
SyntaxError,SyntaxError: unterminated triple-quoted string literal (detected at line 928),0,1,0,1,0.0,1,0,1,0.0,0,0,
TabError,TabError: inconsistent use of tabs and spaces in indentation,0,13,0,13,0.0,10,0,10,0.0,0,0,
