dataset_source,repo_name,blob_commit,blob_relative_path,repo_dir,error_record_count,current_error_record_count,parent_error_record_count,first_observed_time,last_observed_time,observed_treatment_periods,py311_error_types,py311_error_signatures,py311_fstring_error,source_bytes,source_encoding,content_sha256,py312_parse_success,py312_recovered,py312_error_type,py312_error
control,ArpiarSaundersLab/annsql,d7487dd733e9cba196fcd2852cbdcad1f7f500c4,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,30685,utf-8,1a81ff227736b00bccba4a40aca8df6b243299a3f128c06731b41bf0352e71d3,1,1,,
control,ArpiarSaundersLab/annsql,e2979d987a5d6ba0042a60d78389b54c99673b82,src/AnnSQL/AnnSQL.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,25921,utf-8,5e2e80184c8bc93d5a9460d5030ef64a299d8495797489c64a980f88dda39b94,1,1,,
control,BalancerMaxis/multisig-ops,222428d473843855cb4e4659e2316fc53458ad80,tools/python/aura_snapshot_voting/review_votes.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,4407,utf-8,877aad30e8cfc7e3477b88c72bbb1ff0a90805042a862dbf5ef1a4fcee8a6636,1,1,,
control,BalancerMaxis/multisig-ops,3ae106dd0f258de107949aec8d3faf39c2035103,tools/python/aura_snapshot_voting/review_votes.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,2,1,1,2025-04,2025-04,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,4497,utf-8,e168a3f55f2fae86419b1e26db329fb44c9208dad976efb01e93cf6ec1cb51ae,1,1,,
control,BalancerMaxis/multisig-ops,6de8c88a86cfd9cd05e27bd814cf8b036373174f,tools/python/aura_snapshot_voting/review_votes.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,2,1,1,2025-02,2025-02,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,4408,utf-8,6d6abc9b6c914941950ea9c3e4cfb7d11691280c5a690140b4e2f1eaaa883a60,1,1,,
control,BalancerMaxis/multisig-ops,856f768bb0cab5f2a8898631ed16cefe44fc9558,tools/python/gen_merkl_airdrops.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,0,1,2025-03,2025-03,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 308),0,11170,utf-8,0690f0ee48d21eed6fbd0bfdb15497a37873e1431c7dce6686c5dd7b86089995,1,1,,
control,BalancerMaxis/multisig-ops,bb249030882aa121c8df5c382523bf76116145da,tools/python/gen_merkl_airdrops.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 308),0,11174,utf-8,aedf0e33a4f0539a1dd3e254cbb5ed7577bf056b92586cdf5c86a8e765dba935,1,1,,
control,BalancerMaxis/multisig-ops,c555b6b9f97a2b876448428a2434599d9735262b,tools/python/gen_merkl_airdrops.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 308),0,11170,utf-8,0690f0ee48d21eed6fbd0bfdb15497a37873e1431c7dce6686c5dd7b86089995,1,1,,
control,BalancerMaxis/multisig-ops,fbab03a4164c14136f0bae195f14d842aadadaf1,tools/python/gen_merkl_airdrops.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,0,2025-02,2025-02,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 278),0,10194,utf-8,c031ab971d9d8bc16339ba65f87542ff858d523bf349fd52679f305a81401859,1,1,,
control,ITSpecialist111/ai_automation_suggester,0958b368d8ab1d670a8c89bd274174ca94e68c4a,custom_components/ai_automation_suggester/sensor.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,1,0,1,2025-05,2025-05,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,14126,utf-8,d157ddf1860d9a66933a5657841a0994475a81637c8286ce56cb8dee3dcc0e36,1,1,,
control,ITSpecialist111/ai_automation_suggester,dbd38f9a2bf82f4d18bf899741cd4db423b070a6,custom_components/ai_automation_suggester/sensor.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,1,1,0,2025-05,2025-05,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,14126,utf-8,d157ddf1860d9a66933a5657841a0994475a81637c8286ce56cb8dee3dcc0e36,1,1,,
control,Simatwa/free-proxies,2814ed6ddb9ba78da03eb42426b503d5ff1e1695,src/run.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,2,1,1,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5891,utf-8,1044fb0e62a2375cc8f1000fb565960a82b8f9cbac3555b1fb4964654b6cc5e7,1,1,,
control,Simatwa/free-proxies,4604d9b222f8dc704246c73012ff0f61aebac99f,src/run.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5935,utf-8,d7b91353840d38dae3e9b0475f4fbb6c5c4356c42ebf14bedb3dff1098a9fb4c,1,1,,
control,Simatwa/free-proxies,6b1899dd726c39b26ab308c9b79f073760809a0f,src/run.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5965,utf-8,b429778c05c67217fea98bef575cb681c4dfba259fa83b61bdeed2749283caa1,1,1,,
control,Simatwa/free-proxies,dedd8f50df28276e7958a2d8b07b47a861a2ed01,src/run.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5912,utf-8,dad68d09b248c7821016738da13c6d0a7c9cbb094fbdf4be28a372e967c614ad,1,1,,
control,Simatwa/free-proxies,e64a5dd978befb6b488597cc4d72e81a9e3b1a97,src/run.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5935,utf-8,d7b91353840d38dae3e9b0475f4fbb6c5c4356c42ebf14bedb3dff1098a9fb4c,1,1,,
control,Simatwa/free-proxies,e73188778c845fbc94ed5ed3e1ed50b00adff799,src/run.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5891,utf-8,cdd9613c8cbedeb0a94581838feb93fa5df96cbfcd58685a6e3f70813fbf6b00,1,1,,
control,bropines/chrome-lens-py,c90b669e2e8e2acabd1c460830bf409c8885f4ef,src/chrome_lens_py/cookies_manager.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,1,1,0,2024-09,2024-09,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 20),0,6877,utf-8,eed60122f1c46327126090d3d17ebaa241e94dd734af5f5c2196a3695544df16,1,1,,
control,bropines/chrome-lens-py,c90b669e2e8e2acabd1c460830bf409c8885f4ef,src/chrome_lens_py/request_handler.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,1,1,0,2024-09,2024-09,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 57),0,5562,utf-8,8479ece3068807dc15019ea0aa1d312aa224503ef7f71b9c70e73c5c924078c3,1,1,,
control,bropines/chrome-lens-py,fef297b50b5b0f1b0c2a8ad41a4d1e1e37a41b2c,src/chrome_lens_py/cookies_manager.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,1,0,1,2024-09,2024-09,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 20),0,6877,utf-8,eed60122f1c46327126090d3d17ebaa241e94dd734af5f5c2196a3695544df16,1,1,,
control,bropines/chrome-lens-py,fef297b50b5b0f1b0c2a8ad41a4d1e1e37a41b2c,src/chrome_lens_py/request_handler.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,1,0,1,2024-09,2024-09,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 57),0,5562,utf-8,8479ece3068807dc15019ea0aa1d312aa224503ef7f71b9c70e73c5c924078c3,1,1,,
control,pieces-app/cli-agent,00fa2c668e08222fab3cbb523e2a6ae23be72992,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,8376,utf-8,2ac10d70993f286531d04b658b73f6e0e9580eeaaa3a5c48ef51ab38fe8e4045,1,1,,
control,pieces-app/cli-agent,04e8d323477984597cd4ee040db359d977e9ebc6,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-04,2024-04,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,8415,utf-8,af897bf8848e154bcefed56a487ddc59a2f1f6426292fbace9083f5939c4e04f,1,1,,
control,pieces-app/cli-agent,0eb37395d0aef1dfd9dd9b27bea4f505496e9eb0,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,0,1,2025-07,2025-07,control,SyntaxError,SyntaxError: f-string: unterminated string,1,9313,utf-8,53f5a2089d6cb0daa7875f4d171fc2356b123a94108d08938d7feb181d127cb3,1,1,,
control,pieces-app/cli-agent,1367f8c3a7c43ce57feae70be9ef30e3371d33bd,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2025-05,2025-05,control,SyntaxError,SyntaxError: f-string: unterminated string,1,8546,utf-8,d443f3c6788e572d07861ad9d79fc50ddf7b7a451ea95d9bf654accc7632498e,1,1,,
control,pieces-app/cli-agent,1759eeeca54a1c7a9f7f0dd8165a3597db22836f,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,8430,utf-8,eefeeab4ce03a6c9dcfd4f77ac664fa21368353f5285d0bdda3ca41a072bf700,1,1,,
control,pieces-app/cli-agent,19783882e399733ba2fcbc5e7c5d31eeb464d73a,src/pieces/commands/assets_command.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,0,1,2025-04,2025-04,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 91),0,9075,utf-8,ec58230a1664533efdf649cf38ca8bfb74a8a0b0725a1018d480d204460bad7f,1,1,,
control,pieces-app/cli-agent,2682259c054ae6c17ad29c86fd75b1a56377ebee,src/pieces/assets/assets_command.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,6034,utf-8,6347d512aa404cd88a6c7e00d78abe85fd149ee039c622767bfaa82c68d0c964,1,1,,
control,pieces-app/cli-agent,2c7be6fba925b40d76710ef10eb88cf1a6c1d40d,src/pieces/assets/assets_command.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5213,utf-8,82f492eaa04ddf0d6173c585ec638078c415222db4800dc80fd820d533d032e4,1,1,,
control,pieces-app/cli-agent,37648b616c89578f08c5df76f3440305b65765de,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2025-04,2025-04,control,SyntaxError,SyntaxError: f-string: unterminated string,1,8462,utf-8,652bedc15f5934c5e1903a31d5fb19e9ed3b6e5289bda155f08b01cfa019b4b2,1,1,,
control,pieces-app/cli-agent,3eb2d6eaf740396c23196a31fad4c46bb2f1d10e,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-04,2024-04,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,9584,utf-8,5c573892395bf92f92fde2f8ac05aadcd009ae04f64d2b3c33725632cd808195,1,1,,
control,pieces-app/cli-agent,462d170296fbf01ab5135d92b4d276589f10e0fd,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2025-06,2025-06,control,SyntaxError,SyntaxError: f-string: unterminated string,1,9313,utf-8,53f5a2089d6cb0daa7875f4d171fc2356b123a94108d08938d7feb181d127cb3,1,1,,
control,pieces-app/cli-agent,467efc8aa566a34a9f59c22c27dfca24a7dd8491,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,0,1,2025-06,2025-06,control,SyntaxError,SyntaxError: f-string: unterminated string,1,9313,utf-8,53f5a2089d6cb0daa7875f4d171fc2356b123a94108d08938d7feb181d127cb3,1,1,,
control,pieces-app/cli-agent,48a2773cb43c7af4b7f79c9e3898500203ab59c5,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-04,2024-04,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,8428,utf-8,43d823370c6217e757af88f0cf676c38d39306960aaac175dbbbd547c08d5dc8,1,1,,
control,pieces-app/cli-agent,48a2a4b155ec9115d685657664edbdd2fcffd453,src/pieces/wrapper/client.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 188),0,10189,utf-8,738ceaf9e2787850fc9bd4267cbf5909d7df5d21bc62e17950170defe1f26749,1,1,,
control,pieces-app/cli-agent,48a2a4b155ec9115d685657664edbdd2fcffd453,src/pieces/wrapper/installation.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 113),0,9250,utf-8,acab4f2cdbbbd2743c08088f06e6e979de7d28d2312e411fe41a895eeeaeee7b,1,1,,
control,pieces-app/cli-agent,4af4bff44751dfa9f66fba626a4491ffb330110b,src/pieces/copilot/conversations.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,2,1,1,2024-10,2024-10,control,SyntaxError,SyntaxError: f-string expression part cannot include a backslash,1,4165,utf-8,bc453ea918cc3be4e9653252ed5f3eeee15fac8e5656ea04b6034eee32a81b2e,1,1,,
control,pieces-app/cli-agent,5353afdc48f20713a4fe816415b5aecb568d3b8b,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2025-06,2025-06,control,SyntaxError,SyntaxError: f-string: unterminated string,1,9313,utf-8,53f5a2089d6cb0daa7875f4d171fc2356b123a94108d08938d7feb181d127cb3,1,1,,
control,pieces-app/cli-agent,6be8cc637103633a8da6cd4150c6de28a8772591,src/pieces/pieces_argparser.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,0,1,2025-06,2025-06,control,SyntaxError,SyntaxError: f-string: unterminated string,1,9313,utf-8,53f5a2089d6cb0daa7875f4d171fc2356b123a94108d08938d7feb181d127cb3,1,1,,
control,pieces-app/cli-agent,6fe76aa8ff0c9c528f9c8c16d0bfa47c2f5b14e9,src/pieces/commands/assets/assets_command.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,6034,utf-8,41ec2431a13ff02500390715a7caaf0057c43584b62a841bbb73db0f30a584e2,1,1,,
control,pieces-app/cli-agent,70de956408763bc434779254b4a0ae7b0605a464,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,8515,utf-8,34251b91653535ed448bbb2eb850f1f47d4489a6e282d4b82da4093b57450295,1,1,,
control,pieces-app/cli-agent,758cd4542504f3797c7e58fc019ab3b7612284ad,src/pieces/assets/assets_command.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,0,1,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,5177,utf-8,957259a21b26b70b77091c31c4ca1e1db07c0c58a5be75025ec784f8e9d22342,1,1,,
control,pieces-app/cli-agent,7bff51addb30a3488a423ea2031478b43696df52,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,8648,utf-8,db19bfa7e48b37ed848dbeecabaaa33ff7a7e1858f49c07bf85b3c6a24fed1cf,1,1,,
control,pieces-app/cli-agent,824908daec21c19b8b7afa18536dab75c2088dbf,src/pieces/assets/assets_command.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-05,2024-05,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,6035,utf-8,248a9391a84991d3af4b8f0c6bd8a396571f9fbbb2a5b3605d83faaa27b245b1,1,1,,
control,pieces-app/cli-agent,830fbf7024c738db94471fafd129793bfaa9b075,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,7887,utf-8,5d07402da81ab3254f67aa1fe9dbf734b201878622bfa21108f27e7defc5fde1,1,1,,
control,pieces-app/cli-agent,837372406c2e32610c365bd59a0a78dbfa73ef0e,src/pieces/copilot/conversations.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-09,2024-09,control,SyntaxError,SyntaxError: unexpected character after line continuation character,0,4162,utf-8,0fd9acfdf2f903db4f3806f50a64cf856837fad0bc19e02cdb26d16767fef8e5,1,1,,
control,pieces-app/cli-agent,84a37a58d69485038a7e097a65ad54c0a58bec58,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,8102,utf-8,d36315b64463da59d082e593615772e556e7b4fd55cb894e93930a889df687a6,1,1,,
control,pieces-app/cli-agent,86eb355283e19bc478d1c95e524cb4afe655bf5f,src/pieces/commands/commands_functions.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,16290,utf-8,0a35fa19eb0876e005c2ac41170c59313a19abec5202560a417fef2ad8be14e1,1,1,,
control,pieces-app/cli-agent,888babdb7998adc0f7df59db9ca375ff3cba3107,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-04,2024-04,control,SyntaxError,SyntaxError: f-string: unmatched '[',1,9458,utf-8,318b67120b3c6a898a1606d1c936e8ecc9f55a6493e6bfc397b4ed812e110765,1,1,,
control,pieces-app/cli-agent,8af677bb5b341208bc8d7487064d2560bf59a8d5,src/pieces/commands/assets.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,1,1,0,2024-03,2024-03,control,SyntaxError,SyntaxError: f-string: unmatched '(',1,9434,utf-8,6886e76f8882fbcac31bc648885e4bf60ef605efe4338c5447f1432fd829324d,1,1,,
