dataset_source,repo_name,blob_commit,blob_relative_path,repo_dir,error_record_count,current_error_record_count,parent_error_record_count,first_observed_time,last_observed_time,observed_treatment_periods,py311_error_types,py311_error_signatures,py311_fstring_error,source_bytes,source_encoding,content_sha256,py312_parse_success,py312_recovered,py312_error_type,py312_error
control,HelpingAI/Webscout,697308202bdace47f3c7c4e6425d5c2967b84194,webscout/Provider/OPENAI/exachat.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2025-05,2025-05,control,IndentationError,IndentationError: unexpected indent,0,14805,utf-8,9e471aad2af353bde0c81a802debc690ac5f95e8a8f81db1025de72a32042a65,0,0,IndentationError,"IndentationError: unexpected indent (exachat.py, line 169)"
control,HelpingAI/Webscout,6e5ccec863de2c2deab4bcb0e55ba1566080f3a0,webscout/Provider/felo_search.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,2,1,1,2024-08,2024-08,control,SyntaxError,SyntaxError: unmatched ')',0,9051,utf-8,20bbfc389e1d0a0b819d376d61b565c3d58256d5c807c9d807907572e4f27809,0,0,SyntaxError,"SyntaxError: unmatched ')' (felo_search.py, line 231)"
control,HelpingAI/Webscout,9ce5c6cc89669bc127be88e04c7764e4d1280472,webscout/Provider/OPENAI/api.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2025-05,2025-05,control,SyntaxError,SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586,0,41070,utf-8,d313fce0da67afafedd81eb55fc445e0ad1234aabef8c1f5ceb13b7807c72b62,0,0,SyntaxError,"SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586 (api.py, line 609)"
control,HelpingAI/Webscout,b79f0684fd7af82338e989430d77633e0bc8fa07,webscout/Provider/OPENAI/BLACKBOXAI.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2025-05,2025-05,control,IndentationError,IndentationError: expected an indented block after 'try' statement on line 298,0,34787,utf-8,9e22a981e702c912afc0fdbc2951c3677c0643a42b2a45a47b05a1a4677354dd,0,0,IndentationError,"IndentationError: expected an indented block after 'try' statement on line 298 (BLACKBOXAI.py, line 300)"
control,HelpingAI/Webscout,b79f0684fd7af82338e989430d77633e0bc8fa07,webscout/Provider/OPENAI/Qwen3.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2025-05,2025-05,control,SyntaxError,SyntaxError: expected 'except' or 'finally' block,0,15254,utf-8,ebba81c66f18b87ee095bc794ae8e8de175d7353b1a30f6f2403276016e66b9f,0,0,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (Qwen3.py, line 70)"
control,HelpingAI/Webscout,bc5c64b7d79e7de9134acf45df16028e3ed5ec5c,webscout/Provider/typegpt.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,0,1,2025-03,2025-03,control,SyntaxError,SyntaxError: invalid syntax,0,17823,utf-8,1d21dd1cf43278947af07ac21a1772e8ed63c7809b5d869ad887878d919a3c14,0,0,SyntaxError,"SyntaxError: invalid syntax (typegpt.py, line 3)"
control,HelpingAI/Webscout,be481a3a4c846f64f294987be06ab8f71a417833,webscout/Provider/UNFINISHED/chatgptextension.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2024-09,2024-09,control,SyntaxError,SyntaxError: invalid syntax,0,2996,utf-8,0121e775a67ec2b140534c4c3e8143c8c15b8fbf95cb4adaba475bf3b6cf4d6e,0,0,SyntaxError,"SyntaxError: invalid syntax (chatgptextension.py, line 70)"
control,HelpingAI/Webscout,d62a6dd818a52207683edbcca1c380e9769c2c03,webscout/conversation.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,2,1,1,2024-12,2024-12,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 243),0,9068,utf-8,803deeb4900726d1a9f07a1fd1591c8b6e665a6664ae00cc6767c7c4070fa89e,0,0,SyntaxError,"SyntaxError: unterminated string literal (detected at line 243) (conversation.py, line 243)"
control,HelpingAI/Webscout,db89ef1313db2864a1ea158bdf7dac34dad1ca50,webscout/Provider/typegpt.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: invalid syntax,0,17823,utf-8,1d21dd1cf43278947af07ac21a1772e8ed63c7809b5d869ad887878d919a3c14,0,0,SyntaxError,"SyntaxError: invalid syntax (typegpt.py, line 3)"
control,HelpingAI/Webscout,df142e261d8c9ed4bdb1330a7f07ba064873be65,webscout/Provider/typegpt.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,0,2025-03,2025-03,control,SyntaxError,SyntaxError: invalid syntax,0,17800,utf-8,7ab74abdeae7d4a521d569a871f2bbbcf93db52fc94493233935fe83eb4f3408,0,0,SyntaxError,"SyntaxError: invalid syntax (typegpt.py, line 3)"
control,HelpingAI/Webscout,f56ace5212df9b23e500df0fb2ac113215928933,webscout/Provider/OPENAI/BLACKBOXAI.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,0,1,2025-05,2025-05,control,IndentationError,IndentationError: expected an indented block after 'try' statement on line 298,0,34787,utf-8,9e22a981e702c912afc0fdbc2951c3677c0643a42b2a45a47b05a1a4677354dd,0,0,IndentationError,"IndentationError: expected an indented block after 'try' statement on line 298 (BLACKBOXAI.py, line 300)"
control,HelpingAI/Webscout,f56ace5212df9b23e500df0fb2ac113215928933,webscout/Provider/OPENAI/Qwen3.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,0,1,2025-05,2025-05,control,SyntaxError,SyntaxError: expected 'except' or 'finally' block,0,15254,utf-8,ebba81c66f18b87ee095bc794ae8e8de175d7353b1a30f6f2403276016e66b9f,0,0,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (Qwen3.py, line 70)"
control,ITSpecialist111/ai_automation_suggester,0dd6fdec7683b2ee33a712a618ed96a2677a6dfc,custom_components/ai_automation_suggester/config_flow.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,2,1,1,2025-06,2025-06,control,IndentationError,IndentationError: expected an indented block after 'except' statement on line 129,0,32106,utf-8,195481ac1f9c8fa3312c72324d3601e02cb9d9bbdc909c0a91145b23b3d5ad41,0,0,IndentationError,"IndentationError: expected an indented block after 'except' statement on line 129 (config_flow.py, line 135)"
control,ITSpecialist111/ai_automation_suggester,637f02b9a4879ec947a540c40b9163de062b7e1f,custom_components/ai_automation_suggester/const.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,2,1,1,2025-04,2025-04,control,SyntaxError,SyntaxError: invalid syntax,0,8221,utf-8,9e11eb1e912a1abeb488903cbe0517c21267ad013606b030ccf7e676fa9d0ab0,0,0,SyntaxError,"SyntaxError: invalid syntax (const.py, line 145)"
control,ITSpecialist111/ai_automation_suggester,637f02b9a4879ec947a540c40b9163de062b7e1f,custom_components/ai_automation_suggester/coordinator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,2,1,1,2025-04,2025-04,control,SyntaxError,SyntaxError: invalid syntax,0,23270,utf-8,9287ac1719152ccc8e41c6910e23c01bed6c6f2b14e1b41514ec9712653794ef,0,0,SyntaxError,"SyntaxError: invalid syntax (coordinator.py, line 1)"
control,ITSpecialist111/ai_automation_suggester,b940759773b7d16bae0801e98c5c27b5e4c7e039,custom_components/ai_automation_suggester/config_flow.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,2,1,1,2024-11,2024-11,control,SyntaxError,SyntaxError: invalid syntax,0,24553,utf-8,e7ecb0d93a7baec619a8b79d4241a9184501aa449d0cb5cfd8ee8397ac302d21,0,0,SyntaxError,"SyntaxError: invalid syntax (config_flow.py, line 259)"
control,MIT-Emerging-Talent/ET6-edXtras,55b95f7e267da534190d5a626032035dba2eaf10,0_isolate_language_features/for_loops/exercises/5_reversicasify.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,1,1,0,2025-02,2025-02,control,IndentationError,IndentationError: expected an indented block after 'for' statement on line 14,0,313,utf-8,9502ff4317dd6b618093c2001dd4e0bf326d47d9f8eea5f65e9005a231b8b6e0,0,0,IndentationError,"IndentationError: expected an indented block after 'for' statement on line 14 (5_reversicasify.py, line 17)"
control,MIT-Emerging-Talent/ET6-edXtras,896b15f630774e0f55a9f9e6369142cb05b1d8d5,01_isolate_language_features/for_loops/exercises/5_reversicasify.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,1,1,0,2025-03,2025-03,control,IndentationError,IndentationError: expected an indented block after 'for' statement on line 14,0,313,utf-8,9502ff4317dd6b618093c2001dd4e0bf326d47d9f8eea5f65e9005a231b8b6e0,0,0,IndentationError,"IndentationError: expected an indented block after 'for' statement on line 14 (5_reversicasify.py, line 17)"
control,MIT-Emerging-Talent/ET6-edXtras,ae3c1e35770536349214505cccbfba4bc11d895c,1_isolate_language_features/for_loops/exercises/5_reversicasify.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,1,1,0,2025-02,2025-02,control,IndentationError,IndentationError: expected an indented block after 'for' statement on line 14,0,313,utf-8,9502ff4317dd6b618093c2001dd4e0bf326d47d9f8eea5f65e9005a231b8b6e0,0,0,IndentationError,"IndentationError: expected an indented block after 'for' statement on line 14 (5_reversicasify.py, line 17)"
control,MalevichAI/malevich,0825be5ec488974546529f89ae458c9c7949e720,tests/flows/test_utility_flow.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-01,2024-01,control,SyntaxError,SyntaxError: invalid syntax,0,1573,utf-8,c7495ccb992f42aed9e3d4d36e74434c32eec3bcca8f977c906f0aa6f50c7d7f,0,0,SyntaxError,"SyntaxError: invalid syntax (test_utility_flow.py, line 3)"
control,MalevichAI/malevich,18dd753d0adb3cd0b4afa38810213b25bfd9f853,malevich/square/df.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-01,2024-01,control,IndentationError,IndentationError: expected an indented block after function definition on line 248,0,9695,utf-8,1829f2b0eb5d9530e11a1160228580701e5b955ae642695d27637ab4b90ee49f,0,0,IndentationError,"IndentationError: expected an indented block after function definition on line 248 (df.py, line 249)"
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/install.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: invalid syntax,0,5228,utf-8,735060b6fbbc469e2af99504839f91212b538601de66a8b436b51cc110b6396d,0,0,SyntaxError,"SyntaxError: invalid syntax (install.py, line 9)"
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/remove.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: invalid syntax,0,1003,utf-8,d6c45c7d7736c01dc87a5a8dbdec2d20a4484fce0e67e9446dae848a87195b1d,0,0,SyntaxError,"SyntaxError: invalid syntax (remove.py, line 9)"
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/restore.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: invalid syntax,0,2573,utf-8,7ff65f2a5acc91b5c2b507fdad5e7fa282d8edcbb87b643ea72503ee24dd92f9,0,0,SyntaxError,"SyntaxError: invalid syntax (restore.py, line 6)"
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_cli/space/login.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: invalid syntax,0,4244,utf-8,19950a1ee46220b383f78cbbb0fcd1e907cd80fbffa98fcf123b021adcfc268a,0,0,SyntaxError,"SyntaxError: invalid syntax (login.py, line 2)"
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/_utility/package.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: invalid syntax,0,3577,utf-8,eeafc7e83321c4e937d5639d69f755b75d24ab9ea0fca56752037293b69de690,0,0,SyntaxError,"SyntaxError: invalid syntax (package.py, line 58)"
control,MalevichAI/malevich,34467e97f6867a7e8811f64a6e92cd0239c9cf69,malevich/interpreter/core.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: unterminated triple-quoted string literal (detected at line 928),0,33930,utf-8,18a9f09f2c8d9232afba293c8fd570a37fef2c60e5a44eca456267b7c6138f0c,0,0,SyntaxError,"SyntaxError: unterminated triple-quoted string literal (detected at line 928) (core.py, line 528)"
control,MalevichAI/malevich,51c6f5834a63acb1b31b358267c912b7db35d3f6,malevich/_cli/use.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,2,1,1,2024-06,2024-06,control,SyntaxError,SyntaxError: invalid syntax,0,13493,utf-8,21f509ad31bc8ba126ea607ce7a2f241258dfa2c0396e325243d61ed379ff420,0,0,SyntaxError,"SyntaxError: expected argument value expression (use.py, line 192)"
control,MalevichAI/malevich,52acef5e94713d7bbb552b5dcd0cd794f056c529,malevich/interpreter/space.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,0,1,2024-03,2024-03,control,SyntaxError,SyntaxError: unterminated triple-quoted string literal (detected at line 870),0,30252,utf-8,3aebba82e999a92b74a9e30e5165e516d6e609abf58e9642d40de4a3b43e61cc,0,0,SyntaxError,"SyntaxError: unterminated triple-quoted string literal (detected at line 870) (space.py, line 807)"
control,MalevichAI/malevich,d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c,malevich/models/nodes/base.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,1,0,2024-01,2024-01,control,SyntaxError,SyntaxError: invalid syntax,0,766,utf-8,c867ac5b4c0647a42966ebeb47f3efd0a9d96a3f2632bbec538924723192bf91,0,0,SyntaxError,"SyntaxError: invalid syntax (base.py, line 21)"
control,MalevichAI/malevich,d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c,malevich/models/nodes/operation.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,1,0,2024-01,2024-01,control,SyntaxError,SyntaxError: invalid syntax,0,802,utf-8,1e2ea2c4943dee7f62ca65facfa7edfdb9fe5ee37aeb7e1066c684cb81550571,0,0,SyntaxError,"SyntaxError: invalid syntax (operation.py, line 18)"
control,MalevichAI/malevich,d8cb6dc8c5f17c6599383ffb125f8c1a5259c27c,tests/flows/test_utility_flow.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,1,1,0,2024-01,2024-01,control,SyntaxError,SyntaxError: invalid syntax,0,1484,utf-8,00f930bc68bcaf5eb60576d4b370a5302cdae6c6707f503bdfa557e0c7f4bbbc,0,0,SyntaxError,"SyntaxError: invalid syntax (test_utility_flow.py, line 3)"
control,adelatour11/androidtvbackground,190d4833297874c7cf86d45651fffe3928d14991,TMDB.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,1,1,0,2025-07,2025-07,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 16),0,17060,utf-8,5d51de0700aa99c7ce77fa971b0fe1f5275683a8e366ccb2906d6e997557dd6f,0,0,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (190d4833297874c7cf86d45651fffe3928d14991:TMDB.py, line 16)"
control,adelatour11/androidtvbackground,4d2dd2139cb7a32df68d24494631373a4b5b1807,TMDB.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,1,0,1,2025-08,2025-08,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 16),0,17918,utf-8,3edf3a6f58b0d2b00b4593d901f08b4c035f5ea0b42e747d238583378ff73994,0,0,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (4d2dd2139cb7a32df68d24494631373a4b5b1807:TMDB.py, line 16)"
control,adelatour11/androidtvbackground,5bc0c77af7c71d33211e750a1bb6d7acf6dfab9f,TMDB.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,1,1,0,2025-07,2025-07,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 16),0,17918,utf-8,3edf3a6f58b0d2b00b4593d901f08b4c035f5ea0b42e747d238583378ff73994,0,0,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (5bc0c77af7c71d33211e750a1bb6d7acf6dfab9f:TMDB.py, line 16)"
control,adelatour11/androidtvbackground,e77df2da2178db574afa72206a4ca73e2d33a9f2,TMDB.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,1,1,0,2025-07,2025-07,control,SyntaxError,SyntaxError: unterminated string literal (detected at line 16),0,17033,utf-8,0b60b36bf4ee0631b30e851e3f47dd2db213d0aedc0303b95110ee100e184ca4,0,0,SyntaxError,"SyntaxError: unterminated string literal (detected at line 16) (e77df2da2178db574afa72206a4ca73e2d33a9f2:TMDB.py, line 16)"
control,aj47/100x-orchestrator,28edb252a8c4d60e2b8c7b88d95b0a805203c0c2,orchestrator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,2,1,1,2024-12,2024-12,control,IndentationError,IndentationError: unexpected indent,0,20018,utf-8,cb9ee6785938618e63327e955f8752e16c02fc8a89760abae70ef8d60bd1c5d9,0,0,IndentationError,"IndentationError: unexpected indent (28edb252a8c4d60e2b8c7b88d95b0a805203c0c2:orchestrator.py, line 470)"
control,aj47/100x-orchestrator,6614727b3e7b5efe199e76ea0f0983ccc7b29f87,orchestrator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,2,1,1,2024-12,2024-12,control,SyntaxError,SyntaxError: expected 'except' or 'finally' block,0,23246,utf-8,0d7ec459ed27307d0e61e1d0760963a7c26b1e0e62a116b99807a1fcdd73d989,0,0,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (6614727b3e7b5efe199e76ea0f0983ccc7b29f87:orchestrator.py, line 432)"
control,aj47/100x-orchestrator,6bfc5d833a563565e81989c6269f910bef135b52,prompt_processor.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,1,1,0,2024-12,2024-12,control,SyntaxError,SyntaxError: invalid syntax,0,4290,utf-8,9462c83a9334212758feceb02a1f4e547518f87183f64072fb1ab713342983b5,0,0,SyntaxError,"SyntaxError: invalid syntax (6bfc5d833a563565e81989c6269f910bef135b52:prompt_processor.py, line 78)"
control,aj47/100x-orchestrator,85c198752d2070af0f0f60eafbbfd4a86b33ccd4,orchestrator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,1,1,0,2024-12,2024-12,control,IndentationError,IndentationError: unexpected indent,0,20757,utf-8,42c4e2a98d351517726df569f570adf8cf276abef556275df60cfd25d1699f61,0,0,IndentationError,"IndentationError: unexpected indent (85c198752d2070af0f0f60eafbbfd4a86b33ccd4:orchestrator.py, line 471)"
control,aj47/100x-orchestrator,b2b56dedb4f5d77b3d4c989ce8add1677a9e2fc5,orchestrator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,1,1,0,2024-12,2024-12,control,IndentationError,IndentationError: unexpected indent,0,20214,utf-8,e9fa9350169723e357c289f23742f137465ca74ec5ab6c2d84fb44b048da40e7,0,0,IndentationError,"IndentationError: unexpected indent (b2b56dedb4f5d77b3d4c989ce8add1677a9e2fc5:orchestrator.py, line 470)"
control,aj47/100x-orchestrator,bc56add9fed38dad930e7590dc0ee0ec6eebca98,prompt_processor.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,1,0,1,2024-12,2024-12,control,SyntaxError,SyntaxError: invalid syntax,0,4290,utf-8,9462c83a9334212758feceb02a1f4e547518f87183f64072fb1ab713342983b5,0,0,SyntaxError,"SyntaxError: invalid syntax (bc56add9fed38dad930e7590dc0ee0ec6eebca98:prompt_processor.py, line 78)"
control,aj47/100x-orchestrator,c4aa7d57317489220e1ef59dfed130aeb31da567,orchestrator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,1,1,0,2024-12,2024-12,control,IndentationError,IndentationError: unexpected indent,0,20734,utf-8,58fbdab441a4c85c8be2f34572c5e1a83b28b92f0eb2f6c54567e6a2ba95ec4e,0,0,IndentationError,"IndentationError: unexpected indent (c4aa7d57317489220e1ef59dfed130aeb31da567:orchestrator.py, line 471)"
control,aj47/100x-orchestrator,f0cda26642bc69c6cb79776350abcb1f5fc31c2a,orchestrator.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,1,1,0,2024-12,2024-12,control,SyntaxError,SyntaxError: expected 'except' or 'finally' block,0,23230,utf-8,00dfcfedf817bd532c42784f687db69bb64ac2d279edd79a5b830cdedb0f9102,0,0,SyntaxError,"SyntaxError: expected 'except' or 'finally' block (f0cda26642bc69c6cb79776350abcb1f5fc31c2a:orchestrator.py, line 430)"
