pair_id,treatment_repo,control_repo,treatment_event_month,event_month,aligned_time
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,5,2025-07
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,6,2025-08
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,-6,2024-08
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,-5,2024-09
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,-4,2024-10
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,-3,2024-11
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,-2,2024-12
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,-1,2025-01
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,0,2025-02
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,1,2025-03
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,2,2025-04
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,3,2025-05
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,4,2025-06
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,5,2025-07
5,Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,2025-02,6,2025-08
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,-6,2024-08
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,-5,2024-09
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,-4,2024-10
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,-3,2024-11
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,-2,2024-12
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,-1,2025-01
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,0,2025-02
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,1,2025-03
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,2,2025-04
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,3,2025-05
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,4,2025-06
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,5,2025-07
6,Anemll/Anemll,ninareyes1/Simple-Digital-Clock,2025-02,6,2025-08
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,-6,2024-08
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,-5,2024-09
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,-4,2024-10
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,-3,2024-11
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,-2,2024-12
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,-1,2025-01
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,0,2025-02
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,1,2025-03
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,2,2025-04
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,3,2025-05
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,4,2025-06
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,5,2025-07
7,Apocrathia/home-assistant-config,VirtualFlow/VFVS,2025-02,6,2025-08
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,-6,2024-08
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,-5,2024-09
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,-4,2024-10
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,-3,2024-11
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,-2,2024-12
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,-1,2025-01
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,0,2025-02
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,1,2025-03
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,2,2025-04
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,3,2025-05
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,4,2025-06
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,5,2025-07
8,Apocrathia/home-assistant-config,jacebrowning/datafiles,2025-02,6,2025-08
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,-6,2024-08
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,-5,2024-09
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,-4,2024-10
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,-3,2024-11
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,-2,2024-12
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,-1,2025-01
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,0,2025-02
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,1,2025-03
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,2,2025-04
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,3,2025-05
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,4,2025-06
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,5,2025-07
9,Apocrathia/home-assistant-config,linuxacademy/content-gitops,2025-02,6,2025-08
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,-6,2024-09
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,-5,2024-10
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,-4,2024-11
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,-3,2024-12
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,-2,2025-01
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,-1,2025-02
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,0,2025-03
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,1,2025-04
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,2,2025-05
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,3,2025-06
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,4,2025-07
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,5,2025-08
10,Aronnaxx/Behold-Urwar-Droid-Concepts,aws/nova-act,2025-03,6,2025-09
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,-6,2024-09
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,-5,2024-10
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,-4,2024-11
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,-3,2024-12
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,-2,2025-01
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,-1,2025-02
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,0,2025-03
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,1,2025-04
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,2,2025-05
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,3,2025-06
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,4,2025-07
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,5,2025-08
11,Aronnaxx/Behold-Urwar-Droid-Concepts,cyb3rfortr3ss/ByDeF,2025-03,6,2025-09
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,-6,2024-09
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,-5,2024-10
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,-4,2024-11
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,-3,2024-12
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,-2,2025-01
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,-1,2025-02
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,0,2025-03
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,1,2025-04
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,2,2025-05
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,3,2025-06
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,4,2025-07
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,5,2025-08
12,Aronnaxx/Behold-Urwar-Droid-Concepts,vonssy/DreamerQuests-BOT,2025-03,6,2025-09
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,-6,2024-09
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,-5,2024-10
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,-4,2024-11
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,-3,2024-12
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,-2,2025-01
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,-1,2025-02
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,0,2025-03
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,1,2025-04
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,2,2025-05
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,3,2025-06
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,4,2025-07
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,5,2025-08
13,Chocksy/qc-options-framework,Jieqianyu/SGN,2025-03,6,2025-09
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,-6,2024-09
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,-5,2024-10
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,-4,2024-11
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,-3,2024-12
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,-2,2025-01
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,-1,2025-02
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,0,2025-03
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,1,2025-04
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,2,2025-05
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,3,2025-06
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,4,2025-07
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,5,2025-08
14,Chocksy/qc-options-framework,Retmon403/cs2_cheats_for_python,2025-03,6,2025-09
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,-6,2024-09
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,-5,2024-10
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,-4,2024-11
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,-3,2024-12
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,-2,2025-01
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,-1,2025-02
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,0,2025-03
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,1,2025-04
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,2,2025-05
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,3,2025-06
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,4,2025-07
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,5,2025-08
15,Chocksy/qc-options-framework,Wang-ML-Lab/unified-continual-learning,2025-03,6,2025-09
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,-6,2024-06
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,-5,2024-07
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,-4,2024-08
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,-3,2024-09
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,-2,2024-10
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,-1,2024-11
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,0,2024-12
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,1,2025-01
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,2,2025-02
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,3,2025-03
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,4,2025-04
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,5,2025-05
16,DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,2024-12,6,2025-06
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,-6,2024-06
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,-5,2024-07
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,-4,2024-08
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,-3,2024-09
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,-2,2024-10
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,-1,2024-11
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,0,2024-12
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,1,2025-01
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,2,2025-02
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,3,2025-03
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,4,2025-04
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,5,2025-05
17,DannyMac180/mirror,adelatour11/androidtvbackground,2024-12,6,2025-06
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,-6,2024-06
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,-5,2024-07
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,-4,2024-08
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,-3,2024-09
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,-2,2024-10
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,-1,2024-11
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,0,2024-12
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,1,2025-01
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,2,2025-02
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,3,2025-03
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,4,2025-04
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,5,2025-05
18,DannyMac180/mirror,viktoriasemaan/sa-ai-agent,2024-12,6,2025-06
19,DataDog/integrations-core,lancedb/lancedb,2025-03,-6,2024-09
19,DataDog/integrations-core,lancedb/lancedb,2025-03,-5,2024-10
19,DataDog/integrations-core,lancedb/lancedb,2025-03,-4,2024-11
19,DataDog/integrations-core,lancedb/lancedb,2025-03,-3,2024-12
19,DataDog/integrations-core,lancedb/lancedb,2025-03,-2,2025-01
19,DataDog/integrations-core,lancedb/lancedb,2025-03,-1,2025-02
19,DataDog/integrations-core,lancedb/lancedb,2025-03,0,2025-03
19,DataDog/integrations-core,lancedb/lancedb,2025-03,1,2025-04
19,DataDog/integrations-core,lancedb/lancedb,2025-03,2,2025-05
19,DataDog/integrations-core,lancedb/lancedb,2025-03,3,2025-06
19,DataDog/integrations-core,lancedb/lancedb,2025-03,4,2025-07
19,DataDog/integrations-core,lancedb/lancedb,2025-03,5,2025-08
19,DataDog/integrations-core,lancedb/lancedb,2025-03,6,2025-09
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,-6,2024-09
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,-5,2024-10
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,-4,2024-11
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,-3,2024-12
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,-2,2025-01
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,-1,2025-02
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,0,2025-03
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,1,2025-04
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,2,2025-05
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,3,2025-06
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,4,2025-07
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,5,2025-08
20,DataDog/integrations-core,microsoft/semantic-link-labs,2025-03,6,2025-09
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,-6,2024-09
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,-5,2024-10
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,-4,2024-11
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,-3,2024-12
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,-2,2025-01
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,-1,2025-02
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,0,2025-03
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,1,2025-04
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,2,2025-05
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,3,2025-06
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,4,2025-07
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,5,2025-08
21,DataDog/integrations-core,pieces-app/cli-agent,2025-03,6,2025-09
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,-6,2024-09
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,-5,2024-10
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,-4,2024-11
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,-3,2024-12
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,-2,2025-01
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,-1,2025-02
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,0,2025-03
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,1,2025-04
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,2,2025-05
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,3,2025-06
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,4,2025-07
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,5,2025-08
22,DataScienceUIBK/Rankify,aio-libs/aiohttp,2025-03,6,2025-09
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,-6,2024-09
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,-5,2024-10
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,-4,2024-11
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,-3,2024-12
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,-2,2025-01
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,-1,2025-02
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,0,2025-03
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,1,2025-04
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,2,2025-05
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,3,2025-06
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,4,2025-07
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,5,2025-08
23,DataScienceUIBK/Rankify,pieces-app/cli-agent,2025-03,6,2025-09
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,-6,2024-09
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,-5,2024-10
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,-4,2024-11
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,-3,2024-12
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,-2,2025-01
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,-1,2025-02
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,0,2025-03
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,1,2025-04
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,2,2025-05
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,3,2025-06
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,4,2025-07
24,DataScienceUIBK/Rankify,plurai-ai/intellagent,2025-03,5,2025-08
