treatment_repo,treatment_month,event_month,time_to_event,in_event_window,treatment_python_eligible,treatment_scan_status,control_rank,control_repo,pair_status,control_clone_found,control_slot_status,control_slot_usable,eligibility_lookup,selected_eligibility_month,selected_snapshot_observed_month,selected_snapshot_commit,selected_commit_resolution,selected_scan_status,selected_python_eligible,asof_row_gap_months,snapshot_age_months,selected_months_since_observed_commit,selected_error_message,pair_status_overridden_by_history
Anemll/Anemll,2025-05,2025-02,3.0,1,1,success_python,2,LuneMods/KCD2-Blender-Toolkit,aligned,1,python_eligible,1,prior_asof,2025-03,2025-03,c335231561e1327a43f7aac66357232fa83ee545,observed,success_python,1,2,2,0,,0
Anemll/Anemll,2025-05,2025-02,3.0,1,1,success_python,3,ninareyes1/Simple-Digital-Clock,aligned,1,python_eligible,1,prior_asof,2025-02,2025-02,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,observed,success_python,1,3,3,0,,0
Anemll/Anemll,2025-06,2025-02,4.0,1,1,success_python,1,MIT-Emerging-Talent/ET6-edXtras,aligned,1,python_eligible,1,prior_asof,2025-04,2025-04,298895297e3070065b1d3a8f8b0ad1e0b80e2dfa,observed,success_python,1,2,2,0,,0
Anemll/Anemll,2025-06,2025-02,4.0,1,1,success_python,2,LuneMods/KCD2-Blender-Toolkit,aligned,1,python_eligible,1,prior_asof,2025-03,2025-03,c335231561e1327a43f7aac66357232fa83ee545,observed,success_python,1,3,3,0,,0
Anemll/Anemll,2025-06,2025-02,4.0,1,1,success_python,3,ninareyes1/Simple-Digital-Clock,aligned,1,python_eligible,1,prior_asof,2025-02,2025-02,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,observed,success_python,1,4,4,0,,0
Anemll/Anemll,2025-07,2025-02,5.0,1,1,success_python,1,MIT-Emerging-Talent/ET6-edXtras,aligned,1,python_eligible,1,prior_asof,2025-04,2025-04,298895297e3070065b1d3a8f8b0ad1e0b80e2dfa,observed,success_python,1,3,3,0,,0
Anemll/Anemll,2025-07,2025-02,5.0,1,1,success_python,2,LuneMods/KCD2-Blender-Toolkit,aligned,1,python_eligible,1,prior_asof,2025-03,2025-03,c335231561e1327a43f7aac66357232fa83ee545,observed,success_python,1,4,4,0,,0
Anemll/Anemll,2025-07,2025-02,5.0,1,1,success_python,3,ninareyes1/Simple-Digital-Clock,aligned,1,python_eligible,1,prior_asof,2025-02,2025-02,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,observed,success_python,1,5,5,0,,0
Apocrathia/home-assistant-config,2024-01,2025-02,-13.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-01,2024-01,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-01,2025-02,-13.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,46,46,0,,0
Apocrathia/home-assistant-config,2024-01,2025-02,-13.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-01,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-02,2025-02,-12.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-02,2024-01,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2024-02,2025-02,-12.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,47,47,0,,0
Apocrathia/home-assistant-config,2024-02,2025-02,-12.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-02,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2024-03,2025-02,-11.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-03,2024-03,fc623e81f9e7476938a04e191b471aa90dc11d76,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-03,2025-02,-11.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,48,48,0,,0
Apocrathia/home-assistant-config,2024-03,2025-02,-11.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-03,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,2,2,,0
Apocrathia/home-assistant-config,2024-04,2025-02,-10.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-04,2024-03,fc623e81f9e7476938a04e191b471aa90dc11d76,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2024-04,2025-02,-10.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,49,49,0,,0
Apocrathia/home-assistant-config,2024-04,2025-02,-10.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-04,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,3,3,,0
Apocrathia/home-assistant-config,2024-05,2025-02,-9.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-05,2024-05,59566a650f2624f2fc214bd9d8b3c5e7d825da57,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-05,2025-02,-9.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,50,50,0,,0
Apocrathia/home-assistant-config,2024-05,2025-02,-9.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-05,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,4,4,,0
Apocrathia/home-assistant-config,2024-06,2025-02,-8.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-06,2024-05,59566a650f2624f2fc214bd9d8b3c5e7d825da57,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2024-06,2025-02,-8.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,51,51,0,,0
Apocrathia/home-assistant-config,2024-06,2025-02,-8.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-06,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,5,5,,0
Apocrathia/home-assistant-config,2024-07,2025-02,-7.0,0,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-07,2024-07,8840d02caab67fec49efe08a7912d1f39949a100,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-07,2025-02,-7.0,0,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,52,52,0,,0
Apocrathia/home-assistant-config,2024-07,2025-02,-7.0,0,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-07,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,6,6,,0
Apocrathia/home-assistant-config,2024-08,2025-02,-6.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-08,2024-08,03281501945c2ae93ad35c5a618178d65bb2d0d8,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-08,2025-02,-6.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,53,53,0,,0
Apocrathia/home-assistant-config,2024-08,2025-02,-6.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-08,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,7,7,,0
Apocrathia/home-assistant-config,2024-09,2025-02,-5.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-09,2024-08,03281501945c2ae93ad35c5a618178d65bb2d0d8,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2024-09,2025-02,-5.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,54,54,0,,0
Apocrathia/home-assistant-config,2024-09,2025-02,-5.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-09,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,8,8,,0
Apocrathia/home-assistant-config,2024-10,2025-02,-4.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-10,2024-10,46280de29975a61a5d4cd09f36c806a2fb7db769,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-10,2025-02,-4.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,55,55,0,,0
Apocrathia/home-assistant-config,2024-10,2025-02,-4.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-10,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,9,9,,0
Apocrathia/home-assistant-config,2024-11,2025-02,-3.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-11,2024-11,51ad26394a2b99ed8dfab0bd1538abfca73db233,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2024-11,2025-02,-3.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,56,56,0,,0
Apocrathia/home-assistant-config,2024-11,2025-02,-3.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-11,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,10,10,,0
Apocrathia/home-assistant-config,2024-12,2025-02,-2.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2024-12,2024-11,51ad26394a2b99ed8dfab0bd1538abfca73db233,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2024-12,2025-02,-2.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,57,57,0,,0
Apocrathia/home-assistant-config,2024-12,2025-02,-2.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2024-12,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,11,11,,0
Apocrathia/home-assistant-config,2025-01,2025-02,-1.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-01,2024-11,51ad26394a2b99ed8dfab0bd1538abfca73db233,carried_forward,success_python,1,0,2,2,,0
Apocrathia/home-assistant-config,2025-01,2025-02,-1.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,58,58,0,,0
Apocrathia/home-assistant-config,2025-01,2025-02,-1.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-01,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,12,12,,0
Apocrathia/home-assistant-config,2025-02,2025-02,0.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-02,2025-02,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2025-02,2025-02,0.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,59,59,0,,0
Apocrathia/home-assistant-config,2025-02,2025-02,0.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-02,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,13,13,,0
Apocrathia/home-assistant-config,2025-03,2025-02,1.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-03,2025-02,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,carried_forward,success_python,1,0,1,1,,0
Apocrathia/home-assistant-config,2025-03,2025-02,1.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,60,60,0,,0
Apocrathia/home-assistant-config,2025-03,2025-02,1.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-03,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,14,14,,0
Apocrathia/home-assistant-config,2025-04,2025-02,2.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-04,2025-04,e07b38ed8d6e89f0887aa5ec6712934467742b36,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2025-04,2025-02,2.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,61,61,0,,0
Apocrathia/home-assistant-config,2025-04,2025-02,2.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-04,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,15,15,,0
Apocrathia/home-assistant-config,2025-05,2025-02,3.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-05,2025-05,7516af8388fd968e6b7abbfb0df7d51d658142d2,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2025-05,2025-02,3.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,62,62,0,,0
Apocrathia/home-assistant-config,2025-05,2025-02,3.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-05,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,16,16,,0
Apocrathia/home-assistant-config,2025-06,2025-02,4.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-06,2025-06,cb3628112394669d5a93a5804f4d6e23cf161eba,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2025-06,2025-02,4.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,63,63,0,,0
Apocrathia/home-assistant-config,2025-06,2025-02,4.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-06,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,17,17,,0
Apocrathia/home-assistant-config,2025-07,2025-02,5.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,exact_month,2025-07,2025-07,a7737126dae693f755013f0fcd11df7867274df6,observed,success_python,1,0,0,0,,0
Apocrathia/home-assistant-config,2025-07,2025-02,5.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,64,64,0,,0
Apocrathia/home-assistant-config,2025-07,2025-02,5.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-07,2024-01,408299a0f106a08fa1792c63b3699453329cc2d6,carried_forward,success_python,1,0,18,18,,0
Apocrathia/home-assistant-config,2025-08,2025-02,6.0,1,1,success_python,1,jacebrowning/datafiles,aligned,1,python_eligible,1,prior_asof,2025-07,2025-07,a7737126dae693f755013f0fcd11df7867274df6,observed,success_python,1,1,1,0,,0
Apocrathia/home-assistant-config,2025-08,2025-02,6.0,1,1,success_python,2,linuxacademy/content-gitops,aligned,1,python_eligible,1,prior_asof,2020-03,2020-03,8bb5deb0df2bede2b233bb5a789ade6fe496806a,observed,success_python,1,65,65,0,,0
Apocrathia/home-assistant-config,2025-08,2025-02,6.0,1,1,success_python,3,VirtualFlow/VFVS,aligned,1,python_eligible,1,exact_month,2025-08,2025-08,1b9eb391aaf36f2d58c1ea8e184e9d5d8c44018d,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,2025-03,0.0,1,1,success_python,1,aws/nova-act,aligned,1,python_eligible,1,exact_month,2025-03,2025-03,0166b77440414fa4722ba2a00bd4efb53b8b0284,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,2025-03,0.0,1,1,success_python,2,cyb3rfortr3ss/ByDeF,aligned,1,python_eligible,1,exact_month,2025-03,2025-03,d7b3e3870708b397ed5abbf846b77d5f1159a5a8,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,2025-03,0.0,1,1,success_python,3,vonssy/DreamerQuests-BOT,aligned,1,python_eligible,1,exact_month,2025-03,2025-03,9bd9d4bd1ed107e47ebcc67b6487c97904d044cf,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,2025-03,1.0,1,1,success_python,1,aws/nova-act,aligned,1,python_eligible,1,exact_month,2025-04,2025-04,d13683ac30876df8004b7eaeb6ed9db10607a419,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,2025-03,1.0,1,1,success_python,2,cyb3rfortr3ss/ByDeF,aligned,1,python_eligible,1,exact_month,2025-04,2025-03,d7b3e3870708b397ed5abbf846b77d5f1159a5a8,carried_forward,success_python,1,0,1,1,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,2025-03,1.0,1,1,success_python,3,vonssy/DreamerQuests-BOT,aligned,1,python_eligible,1,exact_month,2025-04,2025-04,dc77803efd5ddc4db596480c0e6da24107c9f8bb,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-05,2025-03,2.0,1,1,success_python,1,aws/nova-act,aligned,1,python_eligible,1,exact_month,2025-05,2025-05,9fdf998b06aa849cefeec00490a3429837f584f2,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-05,2025-03,2.0,1,1,success_python,2,cyb3rfortr3ss/ByDeF,aligned,1,python_eligible,1,exact_month,2025-05,2025-05,af0b596ed25048c90b6bdee88900c8fad8fcda6c,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-05,2025-03,2.0,1,1,success_python,3,vonssy/DreamerQuests-BOT,aligned,1,python_eligible,1,exact_month,2025-05,2025-04,dc77803efd5ddc4db596480c0e6da24107c9f8bb,carried_forward,success_python,1,0,1,1,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,2025-03,3.0,1,1,success_python,1,aws/nova-act,aligned,1,python_eligible,1,exact_month,2025-06,2025-06,ec2a9086644b1fc68c0c39ed362360e2843800eb,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,2025-03,3.0,1,1,success_python,2,cyb3rfortr3ss/ByDeF,aligned,1,python_eligible,1,prior_asof,2025-05,2025-05,af0b596ed25048c90b6bdee88900c8fad8fcda6c,observed,success_python,1,1,1,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,2025-03,3.0,1,1,success_python,3,vonssy/DreamerQuests-BOT,aligned,1,python_eligible,1,exact_month,2025-06,2025-04,dc77803efd5ddc4db596480c0e6da24107c9f8bb,carried_forward,success_python,1,0,2,2,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-07,2025-03,4.0,1,1,success_python,1,aws/nova-act,aligned,1,python_eligible,1,exact_month,2025-07,2025-07,0c34f761c63a37dc23f400ea6257163f2009b0d5,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-07,2025-03,4.0,1,1,success_python,2,cyb3rfortr3ss/ByDeF,aligned,1,python_eligible,1,prior_asof,2025-05,2025-05,af0b596ed25048c90b6bdee88900c8fad8fcda6c,observed,success_python,1,2,2,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-07,2025-03,4.0,1,1,success_python,3,vonssy/DreamerQuests-BOT,aligned,1,python_eligible,1,exact_month,2025-07,2025-07,2b4b4321c826efc3c8dc44982fcb439466ff5ebe,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,2025-03,5.0,1,1,success_python,1,aws/nova-act,aligned,1,python_eligible,1,exact_month,2025-08,2025-08,03bf255e76814a50b7ed1cd4e9961d8d6b9dc01d,observed,success_python,1,0,0,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,2025-03,5.0,1,1,success_python,2,cyb3rfortr3ss/ByDeF,aligned,1,python_eligible,1,prior_asof,2025-05,2025-05,af0b596ed25048c90b6bdee88900c8fad8fcda6c,observed,success_python,1,3,3,0,,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,2025-03,5.0,1,1,success_python,3,vonssy/DreamerQuests-BOT,aligned,1,python_eligible,1,prior_asof,2025-07,2025-07,2b4b4321c826efc3c8dc44982fcb439466ff5ebe,observed,success_python,1,1,1,0,,0
AttackIQ/DetectIQ,2024-11,2024-11,0.0,1,1,success_python,1,00sapo/taskcheck,aligned,1,python_eligible,1,exact_month,2024-11,2024-11,1c51a1d6596b27cf0803be6fe76a3cf55d136027,observed,success_python,1,0,0,0,,0
AttackIQ/DetectIQ,2024-11,2024-11,0.0,1,1,success_python,2,sakomws/ai-workshop,aligned,1,python_eligible,1,exact_month,2024-11,2024-11,ac7f18e79fab47a79da5b7b3f93b800c2bd4199f,observed,success_python,1,0,0,0,,0
AttackIQ/DetectIQ,2024-11,2024-11,0.0,1,1,success_python,3,justin4ai/Quark,control_clone_missing,0,missing_clone,0,,,,,,missing_clone,,,,,Clone directory does not exist.,0
AttackIQ/DetectIQ,2024-12,2024-11,1.0,1,1,success_python,1,00sapo/taskcheck,aligned,1,python_eligible,1,exact_month,2024-12,2024-12,5d3fcfe965b3f342b19ea3a96b37c9840583eab4,observed,success_python,1,0,0,0,,0
AttackIQ/DetectIQ,2024-12,2024-11,1.0,1,1,success_python,2,sakomws/ai-workshop,aligned,1,python_eligible,1,exact_month,2024-12,2024-12,d8ff28abaa606ac28c4392122a3a591f2ffba76e,observed,success_python,1,0,0,0,,0
