repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note
DataScienceUIBK/Rankify,Python,318,125.0,3.0,5359.0,Python: 1459522; C++: 20283; Cuda: 4540,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
DutchCryptoDad/bamboo-ta,Python,12,129.0,1.0,30773.0,Python: 1952044,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DutchCryptoDad_bamboo-ta,reused_status=failed;local_git_repo_not_found;git_clone_not_executed
Elevate-Code/better-voice-typing,Python,31,22.0,1.0,2385.0,Python: 72341; Batchfile: 4645; PowerShell: 4427,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Hankanman/Area-Occupancy-Detection,Python,58,195.0,1.0,552.0,Python: 151295; Shell: 1201,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Kiln-AI/Kiln,Python,3284,1477.0,6.0,14657.0,Python: 1238999; Svelte: 443436; TypeScript: 40734; Shell: 4049; JavaScript: 2880; Inno Setup: 2418; CSS: 920; HTML: 462,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Kiln-AI_Kiln,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
KroMiose/nekro-agent,Python,149,434.0,4.0,5649.0,Python: 454387; TypeScript: 308345; Shell: 18151; JavaScript: 1106; HTML: 366; CSS: 245,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/KroMiose_nekro-agent,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
LearningCircuit/local-deep-research,Python,1985,371.0,10.0,1460.0,Python: 460878; JavaScript: 172813; HTML: 77704; CSS: 24641; Batchfile: 3625; Inno Setup: 3440; Dockerfile: 988,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/LearningCircuit_local-deep-research,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
MDGrey33/pyvisionai,Python,98,142.0,1.0,10416.0,Python: 210810; HTML: 5576,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/MDGrey33_pyvisionai,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Meeting-Baas/speaking-meeting-bot,Python,11,92.0,2.0,464.0,Python: 120632; Dockerfile: 196,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Meeting-Baas_speaking-meeting-bot,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Metta-AI/metta,Python,21,686.0,8.0,2270.0,Python: 391836; Shell: 18076; HTML: 3811; Dockerfile: 1282,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Metta-AI_metta,reused_status=failed;local_git_repo_not_found;git_clone_not_executed
Mineru98/mysql-mcp-server,Python,20,62.0,1.0,157.0,Python: 49417; HTML: 44039; Dockerfile: 168,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Mineru98_mysql-mcp-server,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Multi-V-VM/MVVM,Python,36,486.0,5.0,17522.0,Python: 361802; C++: 289239; C: 48692; CMake: 36606; Shell: 7471; Rust: 6798; Dockerfile: 2065,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Multi-V-VM_MVVM,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Ody-Z/Trading_Game_Simulator,Python,34,4.0,1.0,58.0,Python: 36842,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Ody-Z_Trading_Game_Simulator,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
OpenMOSS/Language-Model-SAEs,Python,105,577.0,8.0,10244.0,Python: 412037; TypeScript: 196983; JavaScript: 3620; CSS: 1618; HTML: 383,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenMOSS_Language-Model-SAEs,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
OpenSPP/openspp-modules,Python,27,3532.0,18.0,74717.0,Python: 1943049; HTML: 1226632; JavaScript: 345844; CSS: 7328; jq: 7065; SCSS: 6257,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenSPP_openspp-modules,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
PiotrCzapla/smart_dictation,Python,16,6.0,1.0,56.0,Python: 13433,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PiotrCzapla_smart_dictation,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
PostHog/posthog,Python,25398,22659.0,275.0,2044832.0,Python: 22679665; TypeScript: 20277702; Rust: 1867097; C++: 686533; JavaScript: 451915; SCSS: 324234; HTML: 144866; Shell: 93437; Go: 39846; Perl: 35898; MDX: 33574; ANTLR: 23533; Dockerfile: 17237; PLpgSQL: 9521; EJS: 4831; Smarty: 1517; CSS: 520; C: 285,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PostHog_posthog,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
PrefectHQ/marvin,Python,5586,3817.0,52.0,64290.0,Python: 450250; Jinja: 2905; Just: 1103; Mako: 494,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PrefectHQ_marvin,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ResearchHub/researchhub-backend,Python,40,9323.0,25.0,143476.0,Python: 3274338; HTML: 68020; CSS: 40495; Shell: 2343; Dockerfile: 524,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ResearchHub_researchhub-backend,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Scrapybara/codecapy,Python,159,35.0,1.0,765.0,Python: 64591; Dockerfile: 745,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Scrapybara_codecapy,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code,Python,11,26.0,2.0,261.0,Python: 100232; Shell: 5399; PowerShell: 4566,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ShunsukeHayashi_Auto-coder-agent_Cursor_Roo_code,reused_status=failed;local_git_repo_not_found;git_clone_not_executed
SlyyCooper/cursorrules-architect,Python,58,11.0,1.0,353.0,Python: 239669; HTML: 760,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/SlyyCooper_cursorrules-architect,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
TextGeneratorio/text-generator.io,Python,33,82.0,1.0,22315.0,Python: 1272211; JavaScript: 1103437; Jinja: 425188; CSS: 165487; Less: 101223; SCSS: 79489; CoffeeScript: 10449; Dockerfile: 7610; HTML: 4178; Shell: 2125,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TextGeneratorio_text-generator.io,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
The-Pocket/PocketFlow,Python,1615,489.0,7.0,42874.0,Python: 214630; Jupyter Notebook: 158647,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
The-Pocket/PocketFlow-Template-Python,Python,37,30.0,1.0,5705.0,Python: 2026,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow-Template-Python,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
The-Pocket/Tutorial-AI-Paul-Graham,Python,34,24.0,1.0,67656.0,Python: 47415,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-AI-Paul-Graham,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
The-Pocket/Tutorial-Cold-Email-Personalization,Python,17,8.0,1.0,593.0,Python: 34157,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-Cold-Email-Personalization,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
The-Pocket/Tutorial-Cursor,Python,68,24.0,1.0,10925.0,Python: 67697; TypeScript: 10442; JavaScript: 990; HTML: 366; CSS: 59,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-Cursor,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
TheSethRose/Agent-Chat,Python,16,8.0,1.0,897.0,Python: 22565,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TheSethRose_Agent-Chat,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ToolUse/infinite-ai-seo,Python,27,9.0,2.0,5391.0,Python: 67331,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ToolUse/tool-use-ai,Python,23,74.0,3.0,219.0,Python: 161046,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_tool-use-ai,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
VRSEN/agency-swarm,Python,3605,574.0,16.0,5947.0,Python: 389581; Jupyter Notebook: 87169; HTML: 1038,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
VRSEN/agency-swarm-memory-demo,Python,36,12.0,2.0,42.0,Python: 10174,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm-memory-demo,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
VRSEN/agency-voice-interface,Python,75,57.0,2.0,289.0,Python: 120175,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-voice-interface,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
W1ndys/Blog,Python,43,763.0,10.0,208796.0,Python: 7701; Shell: 3447; JavaScript: 995; CSS: 478,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_Blog,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
WangQrkkk/ThinkingCursor,Python,27,5.0,1.0,11.0,Python: 3771,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/WangQrkkk_ThinkingCursor,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
airweave-ai/airweave,Python,564,472.0,6.0,3418.0,Python: 1019614; TypeScript: 619545; MDX: 30800; CSS: 8216; Shell: 5094; HTML: 1229; Dockerfile: 1075; JavaScript: 1073; Mako: 494,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
allthingslinux/tux,Python,93,1908.0,35.0,11944.0,Python: 742055; Dockerfile: 2806,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
appl-team/appl,Python,243,24.0,2.0,9936.0,Python: 351571; HTML: 609; Shell: 168,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
arjitvermaco/DbDost,Python,58,2.0,1.0,26.0,Python: 34174; HTML: 25715,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/arjitvermaco_DbDost,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
askjohngeorge/pipecat-lead-qualifier,Python,14,396.0,1.0,22388.0,Python: 111839; TypeScript: 12206; CSS: 1890; Dockerfile: 638; JavaScript: 528,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/askjohngeorge_pipecat-lead-qualifier,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
assafelovic/gpt-researcher,Python,20634,2492.0,146.0,34132.0,Python: 431237; TypeScript: 114500; CSS: 18459; JavaScript: 17539; HTML: 11108; Dockerfile: 2886; Shell: 1214; Procfile: 78,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/assafelovic_gpt-researcher,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
atopile/atopile,Python,2054,2489.0,32.0,108255.0,Python: 2160023; C++: 103410; TypeScript: 30583; ANTLR: 11517; CMake: 2916; JavaScript: 2040; Shell: 397,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/atopile_atopile,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
c4fun/tell-stories-webui,Python,40,18.0,1.0,10875.0,Python: 146252,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/c4fun_tell-stories-webui,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
cbardyn/ai-swiss-workflows,Python,54,7.0,1.0,4030.0,Python: 99395,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cbardyn_ai-swiss-workflows,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
cgevans/qslib,Python,10,447.0,2.0,1237.0,Python: 395024; Rust: 206027,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cgevans_qslib,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
codingforentrepreneurs/Cursor-Django,Python,13,32.0,1.0,77.0,Python: 25063; HTML: 16864,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
cohnen/mcp-google-ads,Python,14,10.0,1.0,272.0,Python: 55729,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cohnen_mcp-google-ads,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
daojiAnime/vmq-fastapi,Python,13,38.0,2.0,452.0,Python: 105601; HTML: 15920; Shell: 3286; Dockerfile: 1284; Mako: 523,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
discus0434/nook,Python,225,19.0,1.0,3127.0,Python: 63351; HTML: 52319; Dockerfile: 617; Makefile: 289,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/discus0434_nook,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ericmjl/llamabot,Python,135,1656.0,12.0,4822.0,Python: 385531; Jupyter Notebook: 353882; HTML: 20441; CSS: 7743; Dockerfile: 871; JavaScript: 624,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ericmjl/pyds-cli,Python,45,454.0,2.0,1380.0,Python: 41461; Dockerfile: 5244; Jupyter Notebook: 878; CSS: 607; Makefile: 159; JavaScript: 21,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ericyuegu/hal,Python,25,757.0,1.0,427669.0,Python: 569174; Shell: 2169,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ericzakariasson/uber-eats-mcp-server,Python,148,5.0,2.0,11.0,Python: 5473,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericzakariasson_uber-eats-mcp-server,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ethereum/pm,Python,1678,2272.0,98.0,8869.0,Python: 1188,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethereum_pm,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ethyca/fides,Python,392,3002.0,62.0,115471.0,Python: 7618523; TypeScript: 5029681; JavaScript: 365464; CSS: 39166; HTML: 33307; SCSS: 18712; Dockerfile: 4481; Jinja: 3618; Mako: 494,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethyca_fides,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ezyang/codemcp,Python,962,1019.0,6.0,1483.0,Python: 487727; Shell: 1540,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ezyang_codemcp,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
gerred/mcp-server-replicate,Python,10,26.0,4.0,202.0,Python: 154518; Dockerfile: 808,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
getsentry/sentry,Python,40425,82057.0,337.0,590738.0,Python: 42565515; TypeScript: 33301709; HTML: 265688; Less: 219675; Lua: 74682; JavaScript: 55575; PEG.js: 20144; Shell: 17052; Makefile: 7073; Dockerfile: 4296; EJS: 1803; Ruby: 708,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/getsentry_sentry,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
grapeot/devin.cursorrules,Python,5231,45.0,10.0,4811.0,Python: 51939,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/grapeot_devin.cursorrules,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
grapeot/web_agentic_ai,Python,26,73.0,1.0,1306.0,Python: 180862; JavaScript: 84998; CSS: 24597; HTML: 9056,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/grapeot_web_agentic_ai,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
huggingface/nanotron,Python,1740,1223.0,25.0,15107.0,Python: 1259622; Makefile: 487,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/huggingface_nanotron,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
hyperb1iss/droidmind,Python,25,59.0,1.0,586.0,Python: 258301,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/hyperb1iss_droidmind,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ifokeev/telegram-ai-agent,Python,27,18.0,1.0,173.0,Python: 129315; Shell: 1967,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ifokeev_telegram-ai-agent,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ilanbenb/wa_llm,Python,12,133.0,2.0,569.0,Python: 108183; Jupyter Notebook: 10435; Dockerfile: 855; Mako: 652,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ilanbenb_wa_llm,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
instructor-ai/instructor,Python,9933,1184.0,199.0,133554.0,Python: 627215; Shell: 81,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/instructor-ai_instructor,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
jmurth1234/ClaudePlayer,Python,21,12.0,1.0,639.0,Python: 81758,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/jmurth1234_ClaudePlayer,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
keephq/keep,Python,9804,2420.0,105.0,82462.0,Python: 3885838; TypeScript: 2204593; JavaScript: 20736; CSS: 18662; Shell: 13198; SCSS: 3347; Mako: 551,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/keephq_keep,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
kenshiro-o/nagato-ai,Python,115,115.0,1.0,38216.0,Python: 614025; Makefile: 1196,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/kenshiro-o_nagato-ai,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
kevon217/custom-agency-swarms,Python,14,21.0,1.0,482.0,Python: 94888,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/kevon217_custom-agency-swarms,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
leettools-dev/leettools,Python,304,127.0,5.0,1456.0,Python: 2179551; Shell: 19578; Dockerfile: 2722,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/leettools-dev_leettools,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
loftwah/auto-jira,Python,10,34.0,1.0,74.0,Python: 43547,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/loftwah_auto-jira,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
lss233/kirara-ai,Python,14838,1546.0,38.0,38646.0,Python: 741320; Dockerfile: 1644; Shell: 831; Mako: 689,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/lss233_kirara-ai,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
martinnormark/neural-mesh-simplification,Python,28,143.0,2.0,180.0,Python: 127092; Jupyter Notebook: 10204,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/martinnormark_neural-mesh-simplification,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
matebenyovszky/healing-agent,Python,16,18.0,1.0,108.0,Python: 88166,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/matebenyovszky_healing-agent,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
micic-mihajlo/Datalore,Python,40,13.0,1.0,251.0,Python: 43412,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/micic-mihajlo_Datalore,reused_status=failed;local_git_repo_not_found;git_clone_not_executed
namuan/trading-utils,Python,200,816.0,1.0,10017.0,Python: 763806; Shell: 4833; Makefile: 2955,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
neal-zhu/sentinel,Python,44,6.0,1.0,130.0,Python: 295266,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/neal-zhu_sentinel,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
nextml-code/pytorch-datastream,Python,33,133.0,3.0,907.0,Python: 74062,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
osomai/servicenow-mcp,Python,27,29.0,4.0,193.0,Python: 610912; Shell: 3002; Dockerfile: 344,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/osomai_servicenow-mcp,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
panther-labs/panther-analysis,Python,368,1369.0,110.0,6377.0,Python: 895993; Makefile: 2424; Dockerfile: 1298; Shell: 709,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/panther-labs_panther-analysis,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
raphaelmansuy/code2prompt,Python,818,141.0,3.0,1571.0,Python: 142563; Jinja: 18577; Shell: 54,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_code2prompt,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
raphaelmansuy/iteration_of_tought,Python,39,21.0,1.0,252.0,Python: 16765,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_iteration_of_tought,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
