repo_name,driver_rows,source_group,driver_metrics,cause_categories,driver_abs_diff_sum,driver_abs_diff_max,cause_row_counts,tree_rows,max_tracked_files,max_python_files,max_notebook_files,max_js_ts_files,max_test_like_files,max_doc_example_files,max_generated_vendor_like_files,months_observed,commits_observed,tree_cause_categories,python_file_share,js_ts_file_share,test_like_file_share,doc_example_file_share,generated_vendor_file_share,top_directories,source_scope_hint_directories,existing_config_files,sonar_specific_config_present,python_lint_config_present,generic_repo_config_present,main_root_cause,root_cause_evidence,recommended_reconfiguration_step
keephq/keep,8,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; vulnerabilities,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,78431.0,50858.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
cgevans/qslib,11,treatment,ncloc; cognitive_complexity; technical_debt; static_analysis_warnings; code_smells,source_scope_difference_or_mixed; paper_commit_missing; commit_selection_difference; rule_config_analyzer_profile_signal,44848.0,24664.0,paper_commit_missing:5; source_scope_difference_or_mixed:3; commit_selection_difference:2; rule_config_analyzer_profile_signal:1,8.0,81,31,1,0,17,18,0,3.0,4.0,commit_selection_difference; paper_commit_missing; source_scope_difference_or_mixed,0.3827,0.0,0.2099,0.2222,0.0,python:18; tests:16; docs:15; (root):14; src:10; LICENSES:2; benches:2; examples:2,tests; docs; examples,.gitignore; .pre-commit-config.yaml; pyproject.toml; tox.ini,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
PromtEngineer/localGPT,4,control,ncloc; technical_debt; static_analysis_warnings; code_smells,source_scope_difference_or_mixed,43468.0,40526.0,source_scope_difference_or_mixed:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
aio-libs/aiohttp,9,control,technical_debt; ncloc; static_analysis_warnings; code_smells; cognitive_complexity; bugs,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,40579.0,13198.0,source_scope_difference_or_mixed:6; rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
PennyLaneAI/catalyst,12,control,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal; commit_selection_difference,39281.0,14043.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:4; commit_selection_difference:3,22.0,885,227,6,0,267,115,45,8.0,9.0,commit_selection_difference; rule_config_analyzer_profile_signal,0.2565,0.0,0.3017,0.1299,0.0508,mlir:417; frontend:224; doc:112; runtime:51; .github:38; benchmark:18; (root):16; demos:6,frontend; doc,.gitignore; .pylintrc; pyproject.toml,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
tsukumijima/KonomiTV,5,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_difference_or_mixed,32545.0,23262.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
HelpingAI/Webscout,12,control,technical_debt; static_analysis_warnings; code_smells; ncloc; cognitive_complexity,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal; commit_selection_difference,31275.0,13458.0,commit_selection_difference:5; source_scope_difference_or_mixed:4; rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
jacebrowning/datafiles,4,control,technical_debt; static_analysis_warnings; bugs; code_smells,rule_config_analyzer_profile_signal,26435.0,13115.0,rule_config_analyzer_profile_signal:4,24.0,101,47,9,0,28,19,0,12.0,12.0,rule_config_analyzer_profile_signal,0.4653,0.0,0.2772,0.1881,0.0,datafiles:29; (root):19; tests:17; docs:16; notebooks:15; bin:4; .github:2,tests; docs; notebooks,.gitignore; pyproject.toml,False,True,True,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
LearningCircuit/local-deep-research,9,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells; cognitive_complexity; vulnerabilities,source_scope_difference_or_mixed; commit_selection_difference,24917.0,10963.0,source_scope_difference_or_mixed:6; commit_selection_difference:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
zhipeixu/FakeShield,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,23830.0,16945.0,rule_config_analyzer_profile_signal:3,15.0,1119,430,0,1,14,2,35,5.0,5.0,rule_config_analyzer_profile_signal,0.3843,0.0009,0.0125,0.0018,0.0313,MFLM:977; DTE-FDM:100; scripts:25; assets:7; playground:6; (root):3; weight:1,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
whiteducksoftware/flock,11,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,commit_selection_difference; source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,17559.0,9606.0,commit_selection_difference:5; source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:1,12.0,729,252,0,0,40,68,2,3.0,6.0,commit_selection_difference,0.3457,0.0,0.0549,0.0933,0.0027,src:564; docs:62; legacy:45; tests:35; (root):18; .github:10; .vscode:3; scripts:3,docs; tests,.gitignore; pyproject.toml,False,True,True,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
airweave-ai/airweave,9,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_difference_or_mixed; commit_selection_difference; rule_config_analyzer_profile_signal,17306.0,9783.0,source_scope_difference_or_mixed:5; commit_selection_difference:3; rule_config_analyzer_profile_signal:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
microsoft/AzureTRE,6,control,static_analysis_warnings; code_smells; technical_debt; ncloc; bugs; vulnerabilities,source_scope_difference_or_mixed,16264.0,6004.0,source_scope_difference_or_mixed:6,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
FMInference/FlexiGen,5,control,technical_debt; static_analysis_warnings; code_smells; vulnerabilities; bugs,source_scope_difference_or_mixed,15892.0,8966.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
odoo/industry,3,control,ncloc; technical_debt,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,15466.0,14772.0,source_scope_difference_or_mixed:2; rule_config_analyzer_profile_signal:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
KroMiose/nekro-agent,5,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_difference_or_mixed,15111.0,9512.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
ysj9909/SHViT,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,15084.0,10740.0,rule_config_analyzer_profile_signal:3,9.0,73,58,0,0,3,0,3,3.0,3.0,rule_config_analyzer_profile_signal,0.7945,0.0,0.0411,0.0,0.0411,downstream:52; (root):10; data:8; model:3,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
VirtualFlow/VFVS,5,control,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_difference_or_mixed,13093.0,7017.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
microsoft/semantic-link-labs,7,control,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_difference_or_mixed; commit_selection_difference,12748.0,6804.0,source_scope_difference_or_mixed:5; commit_selection_difference:2,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
trycua/cua,9,treatment,technical_debt; ncloc; static_analysis_warnings; cognitive_complexity; code_smells; bugs,rule_config_analyzer_profile_signal; source_scope_difference_or_mixed,12570.0,4023.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
OpenSPP/openspp-modules,5,treatment,technical_debt; code_smells; static_analysis_warnings; ncloc; vulnerabilities,source_scope_difference_or_mixed,12244.0,8305.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
samuelgursky/davinci-resolve-mcp,5,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_difference_or_mixed,12146.0,5880.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
dymmond/edgy,5,control,technical_debt; code_smells; static_analysis_warnings; bugs,rule_config_analyzer_profile_signal; source_scope_difference_or_mixed,11993.0,7609.0,rule_config_analyzer_profile_signal:4; source_scope_difference_or_mixed:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
BalancerMaxis/multisig-ops,6,control,ncloc; cognitive_complexity; technical_debt; code_smells; static_analysis_warnings,source_scope_difference_or_mixed; commit_selection_difference,11062.0,8384.0,source_scope_difference_or_mixed:5; commit_selection_difference:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
sbomify/sbomify,9,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; vulnerabilities,source_scope_difference_or_mixed; commit_selection_difference,10462.0,4857.0,source_scope_difference_or_mixed:5; commit_selection_difference:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
golemfoundation/octant,11,control,technical_debt; code_smells; ncloc; static_analysis_warnings; bugs,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal; commit_selection_difference,10358.0,2412.0,source_scope_difference_or_mixed:5; commit_selection_difference:3; rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
Anemll/Anemll,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,9548.0,6008.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
ResearchHub/researchhub-backend,5,treatment,technical_debt; ncloc; code_smells; static_analysis_warnings; vulnerabilities,source_scope_difference_or_mixed,9156.0,3511.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
OpenMOSS/Language-Model-SAEs,8,treatment,technical_debt; code_smells; ncloc; static_analysis_warnings,source_scope_difference_or_mixed; commit_selection_difference,8504.0,4279.0,commit_selection_difference:4; source_scope_difference_or_mixed:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
