repo_name,source_group,analysis_rows,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_diff_code_smells,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings,sum_diff_static_analysis_warnings
LGro/PyAPSI,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,-8.0,40.0,40.0,40.0,-40.0,8.0,8.0,8.0,-8.0
C4NU/Paddie,control,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,8.0,40.0,10.0,10.0,40.0,8.0,2.0,2.0,8.0
jmurth1234/ClaudePlayer,treatment,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,8.0,35.0,17.5,30.0,35.0,8.0,4.0,7.0,8.0
Retmon403/cs2_cheats_for_python,control,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,8.0,16.0,4.0,4.0,16.0,8.0,2.0,2.0,8.0
ArpiarSaundersLab/annsql,control,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,8.0,40.0,5.0,5.0,40.0,8.0,1.0,1.0,8.0
VirtualFlow/VFVS,control,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,35.0,35.0,35.0,35.0,8.0,8.0,8.0,8.0
ToolUse/tool-use-ai,treatment,5,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,20.0,5.0,5.0,20.0,8.0,2.0,2.0,8.0
taylorwilsdon/open-webui-tools,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,7.0,35.0,15.0,20.0,35.0,7.0,3.0,4.0,7.0
Wang-ML-Lab/unified-continual-learning,control,1,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,15.0,15.0,15.0,-15.0,7.0,7.0,7.0,7.0
yagami1997/CursorMind,treatment,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,25.0,25.0,25.0,25.0,7.0,7.0,7.0,7.0
wdm0006/pygeohash,treatment,4,7.0,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,-7.0
GispoCoding/qgis-venv-creator,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,-6.0,30.0,15.0,15.0,-30.0,6.0,3.0,3.0,-6.0
zhou19830318/xiaozhi_micropython,control,3,0.0,0.0,0.0,0.0,7.0,3.0,3.0,7.0,3.0,1.0,1.0,-1.0,30.0,15.0,15.0,-30.0,6.0,2.0,2.0,6.0
adelatour11/androidtvbackground,control,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,6.0,12.0,0.0,4.0,12.0,6.0,0.0,2.0,6.0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,28.0,28.0,28.0,28.0,5.0,5.0,5.0,5.0
BiancoChiu/iOSRealRun-cli-18,control,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,20.0,5.0,5.0,20.0,4.0,1.0,1.0,4.0
thefatedefeater/V2ray-Config,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0
yihozhang/most-influential-pl-papers,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,20.0,20.0,20.0,20.0,4.0,4.0,4.0,4.0
PhilNad/robot-arm-kinematic-calibration,control,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,0.0,6.0,6.0,3.0,0.0,3.0,3.0
Makopolo/megascan_houdini20.0_USD_plugin,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,6.0,2.0,2.0,6.0,3.0,1.0,1.0,3.0
sshtunnelvision/MCP-LOGO-GEN,treatment,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0
The-Pocket/PocketFlow-Template-Python,treatment,7,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0
DannyMac180/mirror,treatment,1,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,-1.0,29.0,29.0,29.0,29.0,3.0,3.0,3.0,3.0
kangtegong/pyftrace,control,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,-3.0,15.0,5.0,5.0,-15.0,3.0,1.0,1.0,-3.0
omkarcloud/amazon-scraper,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0
hyperb1iss/droidmind,treatment,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
loftwah/auto-jira,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,-50.0,2.0,2.0,2.0,2.0
dottxt-ai/prompts,control,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,-2.0,10.0,2.5,5.0,-10.0,2.0,0.5,1.0,-2.0
ericzakariasson/uber-eats-mcp-server,treatment,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
vonssy/BlockBitsApp-BOT,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
Ody-Z/Trading_Game_Simulator,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
PiotrCzapla/smart_dictation,treatment,1,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0
The-Pocket/Tutorial-Cursor,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
TheFocusedCoder/api-agent,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
raphaelmansuy/iteration_of_tought,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
ToolUse/infinite-ai-seo,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
popey/sbommage,control,2,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0
Hack-a-Day/2024-Supercon-8-Add-On-Badge,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM/mt-rag-benchmark,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envious-Data/Env-KB,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xnl-h4ck3r/getSubsidiaries,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apocrathia/home-assistant-config,treatment,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRSEN/agency-swarm-memory-demo,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saucer-man/qq_msg_decode,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slopp/30_days_of_dagster,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smorin/py-launch-blueprint,treatment,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,3.0,-18.0,0.0,0.0,0.0,0.0
The-Pocket/Tutorial-AI-Paul-Graham,treatment,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The-Pocket/Tutorial-Cold-Email-Personalization,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davidhandsome86/LLM_RAG,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WangQrkkk/ThinkingCursor,treatment,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ali-bahrainian/RAG_best_practices,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ninareyes1/Simple-Digital-Clock,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The-WhiteRabbit/dnfm_server,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0uter/ss.conf-for-surge,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEU-ProactiveSecurity-Group/LLM-PD,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrTimonM/Arichain-Bot,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itsKayWat/MindfulShift-2025,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emresen20/Pau-Bilgisayar-nots,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loml13yyy/AtlassianConfluence-RCE,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loml13yyy/yyGRPU8,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyb3rfortr3ss/ByDeF,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIT-Emerging-Talent/ET6-edXtras,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,15.0,0.0,0.0,0.0,0.0
wasilukm/hoymiles-mqtt,control,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FlipperPA/peregrine,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1mrat/cursor-taskrunner,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
