repo_name,source_group,driver_metrics,main_root_cause,root_cause_evidence,recommended_reconfiguration_step,max_tracked_files,max_python_files,max_js_ts_files,max_test_like_files,max_doc_example_files,max_generated_vendor_like_files,top_directories,source_scope_hint_directories,existing_config_files,sonar_specific_config_present,driver_abs_diff_sum,cause_row_counts
jacebrowning/datafiles,control,technical_debt; static_analysis_warnings; bugs; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",101,47,0,28,19,0,datafiles:29; (root):19; tests:17; docs:16; notebooks:15; bin:4; .github:2,tests; docs; notebooks,.gitignore; pyproject.toml,False,26435.0,rule_config_analyzer_profile_signal:4
LearningCircuit/local-deep-research,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells; cognitive_complexity; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,24917.0,source_scope_difference_or_mixed:6; commit_selection_difference:3
zhipeixu/FakeShield,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",1119,430,1,14,2,35,MFLM:977; DTE-FDM:100; scripts:25; assets:7; playground:6; (root):3; weight:1,,,False,23830.0,rule_config_analyzer_profile_signal:3
whiteducksoftware/flock,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",729,252,0,40,68,2,src:564; docs:62; legacy:45; tests:35; (root):18; .github:10; .vscode:3; scripts:3,docs; tests,.gitignore; pyproject.toml,False,17559.0,commit_selection_difference:5; source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:1
airweave-ai/airweave,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,17306.0,source_scope_difference_or_mixed:5; commit_selection_difference:3; rule_config_analyzer_profile_signal:1
microsoft/AzureTRE,control,static_analysis_warnings; code_smells; technical_debt; ncloc; bugs; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,16264.0,source_scope_difference_or_mixed:6
FMInference/FlexiGen,control,technical_debt; static_analysis_warnings; code_smells; vulnerabilities; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,15892.0,source_scope_difference_or_mixed:5
odoo/industry,control,ncloc; technical_debt,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,15466.0,source_scope_difference_or_mixed:2; rule_config_analyzer_profile_signal:1
KroMiose/nekro-agent,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,15111.0,source_scope_difference_or_mixed:5
ysj9909/SHViT,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",73,58,0,3,0,3,downstream:52; (root):10; data:8; model:3,,,False,15084.0,rule_config_analyzer_profile_signal:3
VirtualFlow/VFVS,control,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,13093.0,source_scope_difference_or_mixed:5
microsoft/semantic-link-labs,control,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,12748.0,source_scope_difference_or_mixed:5; commit_selection_difference:2
trycua/cua,treatment,technical_debt; ncloc; static_analysis_warnings; cognitive_complexity; code_smells; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,12570.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:4
OpenSPP/openspp-modules,treatment,technical_debt; code_smells; static_analysis_warnings; ncloc; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,12244.0,source_scope_difference_or_mixed:5
samuelgursky/davinci-resolve-mcp,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,12146.0,source_scope_difference_or_mixed:5
dymmond/edgy,control,technical_debt; code_smells; static_analysis_warnings; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,11993.0,rule_config_analyzer_profile_signal:4; source_scope_difference_or_mixed:1
BalancerMaxis/multisig-ops,control,ncloc; cognitive_complexity; technical_debt; code_smells; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,11062.0,source_scope_difference_or_mixed:5; commit_selection_difference:1
sbomify/sbomify,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,10462.0,source_scope_difference_or_mixed:5; commit_selection_difference:4
golemfoundation/octant,control,technical_debt; code_smells; ncloc; static_analysis_warnings; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,10358.0,source_scope_difference_or_mixed:5; commit_selection_difference:3; rule_config_analyzer_profile_signal:3
Anemll/Anemll,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,9548.0,rule_config_analyzer_profile_signal:3
ResearchHub/researchhub-backend,treatment,technical_debt; ncloc; code_smells; static_analysis_warnings; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,9156.0,source_scope_difference_or_mixed:5
OpenMOSS/Language-Model-SAEs,treatment,technical_debt; code_smells; ncloc; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,8504.0,commit_selection_difference:4; source_scope_difference_or_mixed:4
daxa-ai/pebblo,control,technical_debt; code_smells; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,7994.0,source_scope_difference_or_mixed:3
believethehype/nostrdvm,control,technical_debt; code_smells; static_analysis_warnings; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,7752.0,source_scope_difference_or_mixed:4
namuan/trading-utils,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,7294.0,commit_selection_difference:4; rule_config_analyzer_profile_signal:3
Chocksy/qc-options-framework,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,6691.0,rule_config_analyzer_profile_signal:3
utensils/mcp-nixos,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,6127.0,source_scope_difference_or_mixed:5; commit_selection_difference:1
tmux-python/tmuxp,treatment,technical_debt; static_analysis_warnings; code_smells; bugs,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,5205.0,rule_config_analyzer_profile_signal:4
ericmjl/llamabot,treatment,technical_debt; static_analysis_warnings; code_smells; vulnerabilities; ncloc,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,5024.0,source_scope_difference_or_mixed:5
osomai/servicenow-mcp,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,4747.0,rule_config_analyzer_profile_signal:3
tw-haiven/haiven,treatment,technical_debt; ncloc; code_smells; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,4737.0,source_scope_difference_or_mixed:4; rule_config_analyzer_profile_signal:1
allthingslinux/tux,treatment,ncloc; cognitive_complexity; technical_debt,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,4478.0,commit_selection_difference:3; rule_config_analyzer_profile_signal:1; source_scope_difference_or_mixed:1
DataScienceUIBK/Rankify,treatment,technical_debt; static_analysis_warnings; code_smells; vulnerabilities,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.,0,0,0,0,0,0,,,,False,4249.0,commit_selection_difference:4
leettools-dev/leettools,treatment,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,3972.0,rule_config_analyzer_profile_signal:3
Hankanman/Area-Occupancy-Detection,treatment,technical_debt; ncloc; bugs; static_analysis_warnings; code_smells; cognitive_complexity,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.,0,0,0,0,0,0,,,,False,3698.0,commit_selection_difference:6
Multi-V-VM/MVVM,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,3610.0,source_scope_difference_or_mixed:4; commit_selection_difference:3
NVIDIA/cuEquivariance,control,technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,3349.0,rule_config_analyzer_profile_signal:3; source_scope_difference_or_mixed:1
